user_id,Studio_User,inactive_days
jacksummer,true,46
majorluvale,true,53
shugevara,true,33
gbargeres,true,56
daquin02sam,true,41
natashaavdb,true,60
paipaide,true,35
joanne0916,true,44
tamcel,true,58
jwmxyz,true,58
francescorussoavv,true,51
lord1x,true,59
5alta,true,33
yxwxw,true,50
estebandc,true,44
liuweigang,true,46
artham,true,33
aneeder23,true,45
vanessa12345masoathu,true,53
mazeikad,true,32
misterscoop,true,40
carljackson2020,true,39
eatmorebeans,true,35
fotoart,true,54
sdebacco,true,54
sergesimard,true,59
likigee,true,56
lopije,true,38
melissa93,true,53
josemauro,true,59
robertjackson,true,46
dewittcountytx,true,54
v27wu,true,33
willempy,true,57
wardpieters,true,39
bhm,true,56
aravkumar,true,49
raymondk007,true,34
anhquyenqh,true,39
williamfox,true,40
nicholaslessard,true,48
strogg,true,56
yanniskaramagalis,true,31
zloypakimon,true,32
krol00,true,39
czell,true,39
nkapil01,true,58
websmithintl,true,38
zaidi71,true,53
carverok,true,51
swarburt,true,55
oa2020,true,39
meduzaboy,true,53
aroogayub,true,32
cvcharde,true,32
hanaba,true,39
stefrag,true,37
alonalmog,true,53
nadiap1,true,54
fearpwni,true,60
ktamas939,true,54
cscholz,true,45
almendorobs,true,37
ttdttdb,true,37
ecous,true,38
vondarksun,true,32
soquester,true,31
szdomogala,true,55
marialuizagtc,true,55
mightym,true,58
sampaton,true,34
traore,true,48
uhrayteam,true,53
eclosion,true,38
tracksandtrails,true,37
adasone,true,60
halmueller,true,55
jimscott,true,32
wangliqun0729,true,34
captic-media,true,44
junya-onozato,true,31
mawanlin,true,40
zonakre,true,46
luoshixian,true,43
yhk5,true,52
phiwebmaster,true,59
dvnetzer,true,42
cho,true,51
dirimdincer,true,57
rivenden,true,48
cmulhollandd,true,59
yebin2004,true,40
fedema,true,43
simalinjie,true,51
mdsumner,true,56
journeytelefonica,true,54
moloko,true,33
sureshm12,true,48
kreatorua,true,45
cdchoo,true,60
elina-galimova,true,48
andrewkor,true,35
